condition,ablation,checkpoint_episode,f_value,n_seeds,mean_coop_rate,std_coop_rate,sem_coop_rate,mean_avg_reward,std_avg_reward,sem_avg_reward,mean_avg_welfare,std_avg_welfare,sem_avg_welfare
cond1,none,150000,3.500,15,0.6926469853639042,0.306012584711581,0.0790121096211893,10.926469853639045,3.06012584711581,0.7901210962118931,43.70587941455618,12.24050338846324,3.1604843848475723
cond1,none,150000,5.000,15,0.9163765421666384,0.08303523880124783,0.021439606468372584,18.662024674666217,1.3285638208199653,0.34303370349396134,74.64809869866487,5.314255283279861,1.3721348139758454
cond1,public_random,150000,3.500,15,0.7357509697863738,0.20842165394494286,0.053814239647851266,11.35750969786374,2.0842165394494288,0.5381423964785127,45.43003879145496,8.336866157797715,2.152569585914051
cond1,public_random,150000,5.000,15,0.8731465615718528,0.12383127242862738,0.03197309705704983,17.970344985149648,1.981300358858038,0.5115695529127973,71.88137994059859,7.925201435432152,2.046278211651189
cond2,baseline_none,150000,3.500,15,0.28087686567164183,0.3198095238362736,0.0825744639850941,6.808768656716419,3.1980952383627357,0.8257446398509409,27.235074626865675,12.792380953450943,3.3029785594037637
cond2,baseline_none,150000,5.000,15,0.5719183823144219,0.09955818937096189,0.025705813960819977,13.150694117030751,1.59293102993539,0.41129302337311957,52.602776468123004,6.37172411974156,1.6451720934924783
