true_f,any_token,n_seeds,total_obs,mean_obs_per_seed,mean_p_cooperate,std_p_cooperate,sem_p_cooperate
3.5,0,15,46663,3110.866666666667,0.723492225941692,0.25182179186823744,0.0650201070745196
3.5,1,15,353717,23581.133333333335,0.7727381323404549,0.14165442093648,0.03657501421357615
5.0,0,15,76884,5125.6,0.9086825135867981,0.11165574254158389,0.028829388758131826
5.0,1,15,278136,18542.4,0.9115177623236784,0.07844320804562246,0.020253949225585297
