true_f,count_ones,n_seeds,total_obs,mean_obs_per_seed,mean_p_cooperate,std_p_cooperate,sem_p_cooperate
3.5,0,15,46663,3110.866666666667,0.723492225941692,0.25182179186823744,0.0650201070745196
3.5,1,15,149531,9968.733333333334,0.7755942628256866,0.18142541208752042,0.04684383997291896
3.5,2,15,149573,9971.533333333333,0.7754542219056192,0.1510752560920645,0.0390074633912391
3.5,3,15,54613,3640.866666666667,0.7845872545247392,0.15888663144481188,0.0410243518347168
5.0,0,15,76884,5125.6,0.9086825135867981,0.11165574254158389,0.028829388758131826
5.0,1,15,153162,10210.8,0.9183294393571961,0.07273166247045501,0.018779234499336748
5.0,2,15,101193,6746.2,0.8884022601646665,0.11155520299711251,0.028803429559373622
5.0,3,13,23781,1829.3076923076924,0.9013176436973088,0.11273381146983463,0.031266733671767626
