true_f,model_name,n_folds,mean_log_loss,std_log_loss,mean_accuracy,std_accuracy,mean_brier,std_brier
3.5,history_count,5,0.4324306071676166,0.08505147077353364,0.8052400000000001,0.06764470251082327,0.13696617407435338,0.03512087984895041
3.5,history_only,5,0.43460797325062267,0.08511924769568974,0.8055466666666667,0.06755566264611397,0.13765202094976556,0.03540246517184253
3.5,history_any,5,0.4352173669681047,0.08433889376984235,0.8046133333333334,0.0672741059645785,0.1378473439025015,0.03514098753073313
3.5,history_sender_bits,5,0.4354809772735842,0.08644665171618132,0.8036533333333334,0.06837024043966625,0.13820348351400186,0.03598450515513318
3.5,history_pattern,5,0.4585044683004552,0.09034443928809295,0.7995733333333332,0.06024028921282204,0.14457072722394748,0.03492595429983073
5.0,history_only,5,0.3368929800353708,0.11152854895030873,0.9006266666666665,0.041849773661939406,0.09150650010436064,0.034146395258488844
5.0,history_any,5,0.34050723815724976,0.11350142553749051,0.9006266666666665,0.041849773661939406,0.09226434398908127,0.03415619229789141
5.0,history_count,5,0.3431841243807921,0.1149925095880124,0.9006266666666665,0.041849773661939406,0.09251682326751473,0.03467103195095978
5.0,history_pattern,5,0.3617886585983723,0.127260802217293,0.8962666666666668,0.04356637337315198,0.0963628093616173,0.035588354949448314
5.0,history_sender_bits,5,0.36602320781134967,0.13995608860165043,0.90052,0.04181117341360111,0.09613556542867759,0.03725217657750135
