condition,ablation,checkpoint_episode,f_value,n_seeds,mean_coop_rate,std_coop_rate,sem_coop_rate,mean_avg_reward,std_avg_reward,sem_avg_reward,mean_avg_welfare,std_avg_welfare,sem_avg_welfare
cond1,none,150000,3.500,15,0.7920650382136969,0.15494727006600412,0.040007213100395796,11.920650382136971,1.5494727006600408,0.4000721310039579,47.682601528547885,6.197890802640163,1.6002885240158315
cond1,none,150000,5.000,15,0.9114894935496591,0.08175325738995773,0.02110860029130098,18.583831896794546,1.308052118239324,0.3377376046608158,74.33532758717818,5.232208472957296,1.3509504186432633
cond1,public_random,150000,3.500,15,0.7301125498552149,0.1983667797574782,0.05121808229610051,11.30112549855215,1.983667797574782,0.5121808229610051,45.2045019942086,7.934671190299128,2.0487232918440204
cond1,public_random,150000,5.000,15,0.8719299748686316,0.12486606419045988,0.032240279141074496,17.950879597898105,1.9978570270473581,0.5158444662571919,71.80351839159242,7.9914281081894325,2.0633778650287677
cond2,baseline_none,150000,3.500,15,0.29485903814262027,0.3096144157400715,0.07994209839380242,6.948590381426202,3.096144157400715,0.7994209839380243,27.794361525704808,12.38457662960286,3.197683935752097
cond2,baseline_none,150000,5.000,15,0.569178584525119,0.09530925967141161,0.024608745029782355,13.106857352401908,1.524948154742586,0.3937399204765178,52.42742940960763,6.099792618970344,1.5749596819060712
