seed,sender_id,regime_shift_pp,action_shift_pp,n_observations
101,agent_0,36.42791906247369,32.30288865528473,30000
101,agent_1,21.98957830686021,38.74006175561,30000
101,agent_2,36.77476771567586,22.45326710989933,30000
101,agent_3,19.307059848575523,11.867573305384456,30000
202,agent_0,18.253443719007148,26.952787591190773,30000
202,agent_1,65.75916159675366,31.79816996518485,30000
202,agent_2,23.93003189018245,23.267563936791632,30000
202,agent_3,33.79302554181305,18.925810298847697,30000
303,agent_0,35.810805119767906,26.204044494021577,30000
303,agent_1,31.053567571566425,55.5200502316957,30000
303,agent_2,2.1022674536277894,0.0,30000
303,agent_3,26.691243807571286,6.528527254103293,30000
404,agent_0,0.0582277784204838,0.0612766572730726,30000
404,agent_1,49.76818280866324,52.91851637641582,30000
404,agent_2,57.54013500632266,75.7583451568163,30000
404,agent_3,64.0175791672435,14.116371544036088,30000
505,agent_0,26.053430649468837,23.53118699150039,30000
505,agent_1,37.71007038134825,5.137191788968177,30000
505,agent_2,16.84386814800547,34.954326084700504,30000
505,agent_3,41.6085031853304,54.332970225566925,30000
606,agent_0,11.098331612524648,5.339784734042922,30000
606,agent_1,70.48380461866158,21.24441794490673,30000
606,agent_2,57.93914240836465,33.42371258880744,30000
606,agent_3,28.305790838821267,21.512556325313447,30000
707,agent_0,55.5655552975005,12.17520509517544,30000
707,agent_1,18.78869949827452,19.333509406620383,30000
707,agent_2,53.33359792949811,20.94937045768519,30000
707,agent_3,40.07004292563661,61.1925294522128,30000
808,agent_0,8.026009745481717,36.089552311801064,30000
808,agent_1,5.9862456903619305,11.847678596339524,30000
808,agent_2,39.515427182493006,17.007285153014067,30000
808,agent_3,42.57335348662694,26.054245267172742,30000
909,agent_0,41.1176397869406,21.416947538895023,30000
909,agent_1,19.481184495297356,11.429208509883516,30000
909,agent_2,20.895501816505533,15.445621777818458,30000
909,agent_3,34.03476865592864,61.24966841016821,30000
1111,agent_0,55.72196062492384,5.7766464734000955,30000
1111,agent_1,17.726983075055855,41.37913399842775,30000
1111,agent_2,18.64679507642138,35.53131727644914,30000
1111,agent_3,21.530974368004067,27.751166885670244,30000
1212,agent_0,21.95523613891845,13.412103967986562,30000
1212,agent_1,27.057680203474504,28.303432887659863,30000
1212,agent_2,61.43358013975904,16.296724045109706,30000
1212,agent_3,40.068011067792675,69.4921552129727,30000
1313,agent_0,68.23136464254934,14.013205785384038,30000
1313,agent_1,47.42136510184437,23.61096253316594,30000
1313,agent_2,6.783477713697684,8.215807157052133,30000
1313,agent_3,58.98161534347907,64.80825030445106,30000
1414,agent_0,38.93410727149433,50.430366980156414,30000
1414,agent_1,45.69847643808265,14.213707879930874,30000
1414,agent_2,66.35517858662458,64.76156441119566,30000
1414,agent_3,13.001971816831617,50.903448973586165,30000
1515,agent_0,54.900766720655575,48.947047216709144,30000
1515,agent_1,25.622069675732636,13.251259100084171,30000
1515,agent_2,60.965877178723744,41.25644213181881,30000
1515,agent_3,17.45341309618105,60.37169036905049,30000
1616,agent_0,67.28338483735023,32.55357459187473,30000
1616,agent_1,57.95599613365867,68.31166374734536,30000
1616,agent_2,57.69688767378687,31.75314143372414,30000
1616,agent_3,56.592287800130386,9.859581459422342,30000
