condition,ablation,checkpoint_episode,f_value,n_seeds,mean_coop_rate,std_coop_rate,sem_coop_rate,mean_avg_reward,std_avg_reward,sem_avg_reward,mean_avg_welfare,std_avg_welfare,sem_avg_welfare
cond1,fixed0,150000,3.500,15,0.6939507467905489,0.24241089664961568,0.06259022437754459,10.939507467905488,2.4241089664961564,0.6259022437754458,43.75802987162195,9.696435865984625,2.503608975101783
cond1,fixed0,150000,5.000,15,0.8517942651118247,0.12786271725930098,0.03301401163640669,17.628708241789194,2.0458034761488157,0.528224186182507,70.51483296715678,8.183213904595263,2.112896744730028
cond1,fixed1,150000,3.500,15,0.7350616913931763,0.21196853943612634,0.05473004154373516,11.350616913931766,2.1196853943612632,0.5473004154373515,45.402467655727065,8.478741577445053,2.189201661749406
cond1,fixed1,150000,5.000,15,0.9044532702382966,0.10679512188065488,0.027574381899997842,18.471252323812745,1.708721950090478,0.4411901103999655,73.88500929525098,6.834887800361912,1.764760441599862
cond1,indep_random,150000,3.500,15,0.7243165089379601,0.1700417076537429,0.04390458012690777,11.2431650893796,1.7004170765374291,0.43904580126907766,44.9726603575184,6.8016683061497165,1.7561832050763106
cond1,indep_random,150000,5.000,15,0.8862698004231716,0.09240361914678849,0.02385851187232031,18.180316806770744,1.4784579063486163,0.38173618995712505,72.72126722708298,5.913831625394465,1.5269447598285002
cond1,marginal,150000,3.500,15,0.7233218946602196,0.17587113810500857,0.045409732597282856,11.233218946602193,1.7587113810500854,0.4540973259728285,44.93287578640877,7.034845524200342,1.816389303891314
cond1,marginal,150000,5.000,15,0.8836908179924562,0.09773912322726253,0.02523613310214015,18.1390530878793,1.5638259716362009,0.40377812963424253,72.5562123515172,6.255303886544803,1.6151125185369701
cond1,none,150000,3.500,15,0.776747090264249,0.14433692697392858,0.037267634294185434,11.767470902642488,1.443369269739286,0.37267634294185437,47.06988361056995,5.773477078957144,1.4907053717674175
cond1,none,150000,5.000,15,0.901771731170075,0.08576275510379694,0.022143848149458044,18.4283476987212,1.372204081660751,0.3543015703913287,73.7133907948848,5.488816326643004,1.4172062815653148
cond1,permute_slots,150000,3.500,15,0.7327776916317775,0.1616227013953042,0.041730802058204494,11.327776916317772,1.616227013953042,0.4173080205820449,45.31110766527109,6.464908055812168,1.6692320823281797
cond1,permute_slots,150000,5.000,15,0.8763458580531751,0.09660792587038641,0.024944059200509815,18.0215337288508,1.5457268139261826,0.39910494720815703,72.0861349154032,6.18290725570473,1.5964197888326281
cond1,public_marginal,150000,3.500,15,0.7095148616330714,0.19324120284684035,0.04989466402846013,11.095148616330714,1.9324120284684037,0.49894664028460134,44.38059446532286,7.729648113873615,1.9957865611384054
cond1,public_marginal,150000,5.000,15,0.8668283137655267,0.12235350378454142,0.03159153883384367,17.869253020248426,1.9576560605526627,0.5054646213414987,71.4770120809937,7.830624242210651,2.021858485365995
cond1,public_random,150000,3.500,15,0.7106539911489921,0.19246802667235713,0.0496950307986296,11.10653991148992,1.9246802667235712,0.496950307986296,44.42615964595968,7.698721066894285,1.987801231945184
cond1,public_random,150000,5.000,15,0.8677176148046605,0.12299074422180623,0.031756073607247436,17.88348183687457,1.9678519075488992,0.5080971777159589,71.53392734749828,7.871407630195597,2.0323887108638354
cond1,sender_shuffle,150000,3.500,15,0.7059418552375243,0.20638900469289803,0.0532894118677279,11.059418552375243,2.0638900469289805,0.532894118677279,44.23767420950097,8.255560187715922,2.131576474709116
cond1,sender_shuffle,150000,5.000,15,0.8745169286237395,0.11384359730846082,0.029394290429867482,17.992270857979836,1.821497556935373,0.4703086468778797,71.96908343191934,7.285990227741492,1.8812345875115188
cond1,zeros,150000,3.500,15,0.8011189370098407,0.17550547347186157,0.0453153183949845,12.011189370098409,1.7550547347186156,0.45315318394984494,48.044757480393635,7.0202189388744625,1.8126127357993798
cond1,zeros,150000,5.000,15,0.8348318404596925,0.16081698988613108,0.041522768241079484,17.35730944735508,2.5730718381780973,0.6643642918572717,69.42923778942033,10.292287352712389,2.657457167429087
cond2,baseline_none,150000,3.500,15,0.29762645107794367,0.27430657570602474,0.07082565329764118,6.976264510779435,2.7430657570602475,0.7082565329764119,27.90505804311774,10.97226302824099,2.8330261319056476
cond2,baseline_none,150000,5.000,15,0.5492404002304991,0.09572026541277814,0.024714866255882904,12.787846403687988,1.5315242466044503,0.39543786009412646,51.15138561475195,6.126096986417801,1.5817514403765058
