rule_name,receiver_seed,f_value,n_donors,predicted_coop_rate_mean,natural_coop_rate,sender_shuffle_coop_rate,public_random_coop_rate,identity_coop_rate_mean,flipall_coop_rate_mean,best_aligned_coop_rate_mean,predicted_minus_natural_mean,predicted_minus_sender_shuffle_mean,predicted_minus_public_random_mean,predicted_minus_identity_mean,predicted_minus_flipall_mean,predicted_minus_best_aligned_mean
majority_slot_sign,101,3.500,14,0.8368886725303012,0.8640041960137866,0.8782032069533942,0.9287411899688572,0.8494309247416031,0.8907178074732135,0.919532055255568,-0.027115523483485775,-0.04131453442309318,-0.09185251743855648,-0.01254225221130188,-0.05382913494291253,-0.08264338272526706
majority_slot_sign,101,5.000,14,0.981637189769538,0.9938313334460033,0.9856768632753087,0.998329335161069,0.9850385988175633,0.983922338106049,0.9960259041062695,-0.012194143676465033,-0.004039673505770439,-0.016692145391531236,-0.0034014090480254467,-0.002285148336510945,-0.014388714336731476
majority_slot_sign,202,3.500,14,0.9091311473498782,0.9404690543983213,0.9387831560017984,0.9316095722012784,0.9023772590037967,0.9001166046443554,0.9347637766972167,-0.031337907048443595,-0.029652008651920265,-0.022478424851400464,0.006753888346081237,0.00901454270552279,-0.025632629347338565
majority_slot_sign,202,5.000,14,0.8886957539404688,0.8612050025350685,0.8868091938482338,0.9919037011651817,0.9135689906764332,0.9117362916826449,0.964019407927881,0.027490751405400384,0.0018865600922350029,-0.10320794722471281,-0.02487323673596446,-0.023040537742176133,-0.07532365398741206
majority_slot_sign,303,3.500,14,0.9076198520283497,0.9106099205754533,0.8596583245916379,0.8331421078511719,0.8929470302437391,0.8515461451855939,0.9302772228413246,-0.002990068547103732,0.04796152743671165,0.07447774417717766,0.014672821784610577,0.05607370684275575,-0.02265737081297495
majority_slot_sign,303,5.000,14,0.9798351672582648,0.9730015210410681,0.9151174581713702,0.9802947224126116,0.957461447846171,0.9657120155772139,0.9895677302705804,0.006833646217196827,0.06471770908689432,-0.0004595551543464963,0.022373719412093818,0.01412315168105105,-0.00973256301231558
majority_slot_sign,404,3.500,14,0.8601098268469195,0.7533343323842348,0.8489060392627005,0.8334699229634487,0.806162962066905,0.874614897339119,0.8901894551938051,0.10677549446268464,0.011203787584219123,0.02663990388347102,0.05394686478001452,-0.014505070492199417,-0.030079628346885608
majority_slot_sign,404,5.000,14,0.9087702760265979,0.7871387527463244,0.9197228325164778,0.8177261823166552,0.8797529517958864,0.895169971925607,0.9240407244099191,0.12163152328027375,-0.010952556489879996,0.09104409370994267,0.029017324230711485,0.01360030410099085,-0.015270448383321145
majority_slot_sign,505,3.500,14,0.8536484561751816,0.8941630451071484,0.812603027124232,0.8075315522045566,0.8386779178433995,0.8507806827640937,0.894793808380834,-0.040514588931966584,0.04104542905094965,0.04611690397062495,0.014970538331782048,0.0028677734110879594,-0.04114535220565237
majority_slot_sign,505,5.000,14,0.9856133467444332,0.984071319925638,0.9798884569883389,0.9847069910897873,0.9746731102411937,0.989894981958574,0.9932863323935287,0.0015420268187952121,0.0057248897560945155,0.0009063556546456805,0.010940236503239562,-0.00428163521414064,-0.007672985649095354
