train_mode,test_mode,f_value,n_seeds,mean_coop_rate,sem_coop_rate,mean_coop_pct,sem_coop_pp,natural_mean_coop_rate,delta_intervention_minus_natural,delta_intervention_minus_natural_pp,sign_flip_p_value,n_intervention_gt_natural,n_intervention_lt_natural,n_intervention_eq_natural
public_random,public_random,3.500,15,0.37006320464639564,0.06710754443110668,37.006320464639565,6.710754443110669,0.36893678631918264,0.0011264183272129827,0.11264183272129827,0.08685302734375,9,6,0
public_random,fixed0,3.500,15,0.3472709391902968,0.07065510601635165,34.72709391902968,7.065510601635165,0.36893678631918264,-0.021665847128885966,-2.1665847128885964,0.40521240234375,6,9,0
public_random,fixed1,3.500,15,0.39086488553789,0.07167018942562652,39.086488553789,7.167018942562652,0.36893678631918264,0.02192809921870731,2.192809921870731,0.45574951171875,8,7,0
fixed0,natural,3.500,15,0.26448623807382987,0.07335469256908413,26.448623807382987,7.335469256908413,0.26448623807382987,-0.0,-0.0,1.0,0,0,15
fixed0,zeros,3.500,15,0.2375693091563015,0.042690244029167705,23.75693091563015,4.26902440291677,0.26448623807382987,-0.02691692891752834,-2.691692891752834,0.6885986328125,8,7,0
fixed0,indep_random,3.500,15,0.3457097791798107,0.06458285654822064,34.57097791798107,6.458285654822064,0.26448623807382987,0.08122354110598087,8.122354110598087,0.17242431640625,11,4,0
fixed0,public_random,3.500,15,0.3521881658744468,0.06247590695920684,35.21881658744468,6.2475906959206835,0.26448623807382987,0.08770192780061695,8.770192780061695,0.08636474609375,12,3,0
fixed0,fixed0,3.500,15,0.26448623807382987,0.07335469256908413,26.448623807382987,7.335469256908413,0.26448623807382987,-0.0,-0.0,1.0,0,0,15
fixed0,fixed1,3.500,15,0.4652105499775213,0.0803310831683679,46.52105499775213,8.03310831683679,0.26448623807382987,0.20072431190369144,20.072431190369144,0.0299072265625,11,4,0
learned,natural,5.000,15,0.901771731170075,0.022143848149458044,90.1771731170075,2.2143848149458045,0.901771731170075,-0.0,-0.0,1.0,0,0,15
learned,zeros,5.000,15,0.8348318404596925,0.041522768241079484,83.48318404596925,4.152276824107949,0.901771731170075,-0.0669398907103825,-6.69398907103825,0.03204345703125,7,8,0
learned,indep_random,5.000,15,0.8862698004231716,0.02385851187232031,88.62698004231716,2.385851187232031,0.901771731170075,-0.01550193074690341,-1.550193074690341,0.3460693359375,5,10,0
learned,public_random,5.000,15,0.8677176148046605,0.031756073607247436,86.77176148046605,3.1756073607247437,0.901771731170075,-0.034054116365414173,-3.4054116365414173,0.14349365234375,7,8,0
learned,fixed0,5.000,15,0.8517942651118247,0.03301401163640669,85.17942651118247,3.301401163640669,0.901771731170075,-0.049977466058250236,-4.997746605825023,0.0548095703125,3,12,0
learned,fixed1,5.000,15,0.9044532702382966,0.027574381899997842,90.44532702382966,2.7574381899997844,0.901771731170075,0.0026815390682215132,0.26815390682215134,0.9052734375,9,6,0
uniform,natural,5.000,15,0.9156373305884371,0.024922916812432323,91.56373305884371,2.4922916812432323,0.9156373305884371,-0.0,-0.0,1.0,0,0,15
uniform,zeros,5.000,15,0.912700863498599,0.03251107607104657,91.27008634985991,3.251107607104657,0.9156373305884371,-0.002936467089838161,-0.2936467089838161,0.88201904296875,10,5,0
uniform,indep_random,5.000,15,0.9159967347857907,0.024714648311294416,91.59967347857906,2.471464831129442,0.9156373305884371,0.0003594041973535485,0.03594041973535485,0.42388916015625,9,6,0
uniform,public_random,5.000,15,0.92758465519181,0.021396929401377177,92.758465519181,2.1396929401377176,0.9156373305884371,0.01194732460337297,1.194732460337297,0.36260986328125,11,4,0
uniform,fixed0,5.000,15,0.9270629610567852,0.029896994179715416,92.70629610567852,2.9896994179715417,0.9156373305884371,0.01142563046834791,1.142563046834791,0.551513671875,10,4,1
uniform,fixed1,5.000,15,0.9313204094470178,0.02252083460382985,93.13204094470177,2.252083460382985,0.9156373305884371,0.01568307885858066,1.5683078858580661,0.3543701171875,10,5,0
public_random,natural,5.000,15,0.5762737034498515,0.05248177442348719,57.62737034498515,5.2481774423487195,0.5762737034498515,-0.0,-0.0,1.0,0,0,15
public_random,zeros,5.000,15,0.45090244459675577,0.057305923331747055,45.090244459675574,5.730592333174705,0.5762737034498515,-0.1253712588530957,-12.53712588530957,0.004638671875,3,12,0
public_random,indep_random,5.000,15,0.5623832827089662,0.05076081610962447,56.23832827089662,5.076081610962447,0.5762737034498515,-0.013890420740885348,-1.3890420740885348,0.42681884765625,6,9,0
public_random,public_random,5.000,15,0.5798423231807612,0.05256309837339599,57.984232318076124,5.256309837339599,0.5762737034498515,0.003568619730909665,0.3568619730909665,0.0001220703125,14,1,0
public_random,fixed0,5.000,15,0.5651873429289468,0.05859271675179702,56.51873429289468,5.859271675179702,0.5762737034498515,-0.011086360520904727,-1.1086360520904728,0.5537109375,6,9,0
public_random,fixed1,5.000,15,0.5876656385652272,0.056659821478745306,58.76656385652272,5.665982147874531,0.5762737034498515,0.011391935115375819,1.139193511537582,0.4127197265625,9,6,0
fixed0,natural,5.000,15,0.46683848797250854,0.03746276284269295,46.68384879725085,3.7462762842692947,0.46683848797250854,-0.0,-0.0,1.0,0,0,15
fixed0,zeros,5.000,15,0.3316939890710382,0.04455216256896785,33.16939890710382,4.455216256896785,0.46683848797250854,-0.13514449890147034,-13.514449890147034,0.003662109375,2,13,0
fixed0,indep_random,5.000,15,0.4855978727054383,0.055185029348552794,48.55978727054383,5.518502934855279,0.46683848797250854,0.018759384732929728,1.8759384732929727,0.5650634765625,7,8,0
fixed0,public_random,5.000,15,0.4597898103724012,0.042510442554290616,45.97898103724012,4.251044255429061,0.46683848797250854,-0.007048677600107408,-0.7048677600107408,0.62347412109375,7,8,0
fixed0,fixed0,5.000,15,0.46683848797250854,0.03746276284269295,46.68384879725085,3.7462762842692947,0.46683848797250854,-0.0,-0.0,1.0,0,0,15
fixed0,fixed1,5.000,15,0.4906371472029746,0.07057601082400966,49.063714720297455,7.057601082400966,0.46683848797250854,0.023798659230465882,2.379865923046588,0.6502685546875,7,8,0
