condition,ablation,checkpoint_episode,f_value,n_seeds,mean_coop_rate,std_coop_rate,sem_coop_rate,mean_avg_reward,std_avg_reward,sem_avg_reward,mean_avg_welfare,std_avg_welfare,sem_avg_welfare
cond1,fixed0,50000,3.500,15,0.4951046505819472,0.1449337583821631,0.03742173550115782,8.951046505819471,1.4493375838216311,0.3742173550115782,35.804186023277886,5.7973503352865245,1.4968694200463128
cond1,fixed0,50000,5.000,15,0.7265590670948116,0.1560922262133534,0.04030283950645056,15.624945073516985,2.4974756194136543,0.644845432103209,62.49978029406794,9.989902477654617,2.579381728412836
cond1,fixed1,50000,3.500,15,0.4043084070133374,0.17036375236444196,0.04398773171365921,8.043084070133373,1.7036375236444194,0.43987731713659206,32.17233628053349,6.814550094577678,1.7595092685463682
cond1,fixed1,50000,5.000,15,0.6524336657089741,0.17123611686731463,0.04421297525975577,14.438938651343586,2.739777869877034,0.7074076041560923,57.75575460537434,10.959111479508136,2.829630416624369
cond1,indep_random,50000,3.500,15,0.4966719242902208,0.09613421504826333,0.02482174759217642,8.966719242902208,0.9613421504826333,0.24821747592176419,35.86687697160883,3.845368601930533,0.9928699036870567
cond1,indep_random,50000,5.000,15,0.6855349688339909,0.09210515406804276,0.02378144852035986,14.968559501343854,1.4736824650886844,0.3805031763257578,59.87423800537542,5.894729860354738,1.5220127053030312
cond1,marginal,50000,3.500,15,0.49647740862059997,0.10239236105910927,0.02643759394405247,8.964774086206,1.0239236105910925,0.2643759394405246,35.859096344824,4.09569444236437,1.0575037577620985
cond1,marginal,50000,5.000,15,0.6848449023250576,0.08625131386620835,0.02226999347948892,14.957518437200921,1.3800210218593338,0.35631989567182276,59.830073748803684,5.520084087437335,1.425279582687291
cond1,none,50000,3.500,15,0.46403666516809033,0.13786853900781704,0.03559750370288153,8.640366651680903,1.3786853900781704,0.35597503702881533,34.56146660672361,5.5147415603126815,1.4239001481152613
cond1,none,50000,5.000,15,0.7083882598163485,0.07876531871862077,0.02033711784372917,15.334212157061577,1.2602450994979324,0.32539388549966675,61.33684862824631,5.04098039799173,1.301575541998667
cond1,permute_slots,50000,3.500,15,0.4891120070295136,0.10827285506032808,0.027955930966332004,8.891120070295136,1.0827285506032807,0.27955930966332004,35.56448028118054,4.330914202413123,1.1182372386532802
cond1,permute_slots,50000,5.000,15,0.6893979345198857,0.09129946489384692,0.02357342047010119,15.030366952318174,1.460791438301551,0.37717472752161907,60.121467809272694,5.843165753206204,1.5086989100864763
cond1,public_marginal,50000,3.500,15,0.46553923243366363,0.12172129601158908,0.03142830348877785,8.655392324336637,1.217212960115891,0.31428303488777853,34.62156929734655,4.868851840463564,1.2571321395511141
cond1,public_marginal,50000,5.000,15,0.6814928251375417,0.10557228967773652,0.027258647982857247,14.903885202200673,1.689156634843784,0.4361383677257159,59.61554080880269,6.756626539375136,1.7445534709028636
cond1,public_random,50000,3.500,15,0.4661011855979894,0.1176278375241838,0.030371377052103715,8.661011855979895,1.176278375241838,0.30371377052103715,34.64404742391958,4.705113500967352,1.2148550820841486
cond1,public_random,50000,5.000,15,0.6827450308430432,0.10458718862774298,0.027004295985460152,14.92392049348869,1.6733950180438877,0.43206873576736243,59.69568197395476,6.693580072175551,1.7282749430694497
cond1,sender_shuffle,50000,3.500,15,0.49674309406064243,0.10690553805146641,0.027602891232711514,8.967430940606421,1.069055380514664,0.27602891232711513,35.869723762425686,4.276221522058656,1.1041156493084605
cond1,sender_shuffle,50000,5.000,15,0.6787533096726946,0.0899599595648959,0.02322756168135563,14.860052954763114,1.4393593530383346,0.3716409869016901,59.44021181905246,5.7574374121533385,1.4865639476067605
cond1,zeros,50000,3.500,15,0.6031470103401767,0.06141109687695701,0.015856277031785652,10.031470103401768,0.6141109687695705,0.15856277031785665,40.12588041360707,2.456443875078282,0.6342510812714266
cond1,zeros,50000,5.000,15,0.7011971156554561,0.13113984663485248,0.033860162802731894,15.219153850487297,2.0982375461576397,0.5417626048437103,60.87661540194919,8.392950184630559,2.167050419374841
cond2,baseline_none,50000,3.500,15,0.3568382048092869,0.19120459611682886,0.04936881443191957,7.568382048092869,1.9120459611682885,0.4936881443191956,30.273528192371476,7.648183844673154,1.9747525772767824
cond2,baseline_none,50000,5.000,15,0.5605034312955105,0.18231596310847223,0.047073779257791916,12.968054900728166,2.9170554097355557,0.7531804681246707,51.872219602912665,11.668221638942223,3.0127218724986826
