checkpoint,condition,train_seed,comm_enabled,eval_seed,eval_policy,ablation,history_intervention,sender_remap,cross_play,scope,key,n_rounds,coop_rate,avg_reward,p_all_cooperate,avg_welfare,p_coop_given_m0,p_coop_given_m1,checkpoint_episode,suite_kind,observability_mode,public_signal_sigma
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed0,none,none,none,regime,competitive,5288,4.7276853252647505e-05,3.9999054462934946,0.0,15.999621785173979,,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed0,none,none,none,regime,cooperative,5917,0.7850684468480649,16.561095149569038,0.16917356768632752,66.24438059827615,,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed0,none,none,none,regime,mixed,18795,0.21875498802873106,6.051928704442671,0.017983506251662677,24.207714817770682,,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed0,none,none,none,f_value,0.500,5288,4.7276853252647505e-05,3.9999054462934946,0.0,15.999621785173979,4.7276853252647505e-05,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed0,none,none,none,f_value,1.500,5824,0.0027472527472527475,4.0054945054945055,0.0,16.021978021978022,0.0027472527472527475,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed0,none,none,none,f_value,2.500,6298,0.09610193712289616,4.576611622737377,0.0,18.306446490949508,0.09610193712289616,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed0,none,none,none,f_value,3.500,6673,0.5230406114191518,9.230406114191519,0.05065188071332234,36.921624456766075,0.5230406114191518,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed0,none,none,none,f_value,5.000,5917,0.7850684468480649,16.561095149569038,0.16917356768632752,66.24438059827615,0.7850684468480649,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed1,none,none,none,regime,competitive,5288,0.0,4.0,0.0,16.0,,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed1,none,none,none,regime,cooperative,5917,0.5593628527970255,12.949805644752407,0.008450228156160216,51.79922257900963,,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed1,none,none,none,regime,mixed,18795,0.1505586592178771,5.397366320830008,0.0,21.58946528332003,,,50000,comm,private,
<SOURCE_VECSTRAIGHT_REPO>/hetzner-results/phase3_vecstraight_clean_msgsource_learned_15seeds_hetzner_20260410/train/cond1_seed101_ep50000.pt,cond1,101,1,9001,greedy,fixed1,none,none,none,f_value,0.500,5288,0.0,4.0,0.0,16.0,,0.0,50000,comm,private,
