checkpoint,condition,train_seed,eval_seed,eval_policy,ablation,history_intervention,sender_remap,cross_play,sender_id,receiver_id,receiver_is_sender,regime,true_f,n_obs,natural_token0_rate,natural_token1_rate,natural_p_cooperate,natural_logit_margin,natural_greedy_cooperate,p_cooperate_force0,p_cooperate_force1,delta_p_cooperate_1_minus_0,logit_margin_force0,logit_margin_force1,delta_logit_margin_1_minus_0,greedy_cooperate_force0,greedy_cooperate_force1,delta_greedy_cooperate_1_minus_0,action_flip_rate_force0_vs_natural,action_flip_rate_force1_vs_natural,checkpoint_episode
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,agent_0,1,competitive,0.5,5288,0.2102874432677761,0.789712556732224,2.977656925558477e-05,-68.54212341269368,0.0,0.00013992009264850614,0.0011827565843787898,0.0010428364917302838,-73.02165390016813,-66.99466442613216,6.026989474035968,0.00018910741301059002,0.00132375189107413,0.0011346444780635401,0.00018910741301059002,0.00132375189107413,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,agent_1,0,competitive,0.5,5288,0.2102874432677761,0.789712556732224,0.00023497028536715063,-87.33904556961626,0.00018910741301059002,0.0004489320153926798,1.330722169138982e-05,-0.00043562479370129025,-100.86245785838447,-83.92881101270667,16.933646845677796,0.00037821482602118004,0.0,-0.00037821482602118004,0.00018910741301059002,0.00018910741301059002,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,agent_2,0,competitive,0.5,5288,0.2102874432677761,0.789712556732224,0.0073940600596907645,-63.64944757770257,0.007753403933434191,0.00829796126623531,0.001109027770540077,-0.007188933495695229,-52.77695600369751,-66.45775171575305,-13.680795712055534,0.00869894099848714,0.0007564296520423601,-0.00794251134644478,0.0009455370650529501,0.00699697428139183,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_0,agent_3,0,competitive,0.5,5288,0.2102874432677761,0.789712556732224,0.0038001085728573834,-45.63294497703775,0.0045385779122541605,0.0038807193989636355,0.00308846801911428,-0.0007922513798493608,-39.68684215331943,-47.08830264872912,-7.401460495409689,0.00434947049924357,0.0032148260211800304,-0.0011346444780635401,0.0005673222390317701,0.00132375189107413,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,agent_0,0,competitive,0.5,5288,0.424357034795764,0.575642965204236,2.977656925558477e-05,-68.54212341269368,0.0,6.1347781119023425e-06,2.986391413361505e-05,2.3729136021712698e-05,-64.71062183506369,-71.30322321769239,-6.5926013826286916,0.0,0.0,0.0,0.0,0.0,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,agent_1,1,competitive,0.5,5288,0.424357034795764,0.575642965204236,0.00023497028536715063,-87.33904556961626,0.00018910741301059002,0.0003879197953491174,4.605233043484388e-06,-0.00038331456230563315,-83.17835398974199,-89.76918363183421,-6.590829642092226,0.00037821482602118004,0.0,-0.00037821482602118004,0.00018910741301059002,0.00018910741301059002,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,agent_2,0,competitive,0.5,5288,0.424357034795764,0.575642965204236,0.0073940600596907645,-63.64944757770257,0.007753403933434191,0.00777445629342555,0.001933442288361532,-0.005841014005064029,-47.514145603327364,-75.5121657536358,-27.998020150308438,0.00813161875945537,0.0018910741301059002,-0.006240544629349471,0.00037821482602118004,0.0058623298033282905,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_1,agent_3,0,competitive,0.5,5288,0.424357034795764,0.575642965204236,0.0038001085728573834,-45.63294497703775,0.0045385779122541605,0.004459346747480611,0.0031831135888189194,-0.0012762331586616913,-42.73568873377954,-47.53572455202983,-4.8000358182502945,0.00529500756429652,0.00340393343419062,-0.0018910741301059002,0.0007564296520423601,0.0011346444780635401,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_2,agent_0,0,competitive,0.5,5288,0.1079803328290469,0.8920196671709532,2.977656925558477e-05,-68.54212341269368,0.0,2.9802399413452497e-05,2.0703409140233286e-09,-2.9800329072538478e-05,-52.4713154357834,-70.53709916393984,-18.065783728156436,0.0,0.0,0.0,0.0,0.0,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed101.pt,cond1,101,9001,greedy,none,none,none,none,agent_2,agent_1,0,competitive,0.5,5288,0.1079803328290469,0.8920196671709532,0.00023497028536715063,-87.33904556961626,0.00018910741301059002,5.1487327945421196e-05,0.0006320528370573036,0.000580565509111882,-72.07632166309544,-89.10516660693193,-17.02884494383649,0.0,0.0005673222390317701,0.0005673222390317701,0.00018910741301059002,0.00037821482602118004,150000
